motif,motif_length,support,prevalence,question_coverage,success_present,failure_present,success_rate_present,success_rate_absent,support_difference,lift_overall_success,odds_ratio,odds_ratio_ci_low,odds_ratio_ci_high,fisher_p_value,fdr_q_value,avg_stage_position,stage_bucket,avg_trace_length_present,noise_cooccurrence_rate,top_neighbor_motifs
action:compute,1,339,0.753333,15,263,76,0.775811,0.306306,0.469505,1.175472,7.737520,4.811388,12.443232,0.00000000,0.00000000,0.482695,middle,14.209440,0.053097,action:apply-formula || action:conclude || action:analyze || action:instantiate || action:rewrite
action:compare milestone:key-relation:exponents-equal strategy:solve-linear,3,9,0.020000,1,9,0,1.000000,0.653061,0.346939,1.515152,10.109185,0.584408,174.870316,0.03153493,0.04365511,0.679233,late,10.000000,0.000000,strategy:solve-linear action:compute || strategy:solve-linear || milestone:key-relation:exponents-equal strategy:solve-linear action:compute || milestone:key-relation:exponents-equal strategy:solve-linear || milestone:key-relation:exponents-equal
strategy:solve-linear action:compute milestone:derived:solution,3,13,0.028889,1,13,0,1.000000,0.649886,0.350114,1.515152,14.567663,0.860075,246.742056,0.00580935,0.01022550,0.985043,late,10.846154,0.000000,strategy:solve-linear action:compute || strategy:solve-linear || strategy:equate-exponents || milestone:key-relation:exponents-equal || milestone:derived:solution
action:compare milestone:key-relation:exponents-equal,2,14,0.031111,1,14,0,1.000000,0.649083,0.350917,1.515152,15.701940,0.930258,265.035026,0.00337146,0.00685584,0.624370,middle,10.357143,0.000000,milestone:key-relation:exponents-equal || milestone:derived:solution || milestone:applied:power-of-a-power || action:compute || action:compare
action:apply-formula milestone:applied:power-of-a-power,2,22,0.048889,1,22,0,1.000000,0.642523,0.357477,1.515152,25.072595,1.510353,416.217310,0.00010778,0.00040706,0.129075,early,10.818182,0.000000,milestone:key-relation:exponents-equal || milestone:derived:solution || milestone:applied:power-of-a-power || action:compute || action:apply-formula
milestone:applied:power-of-a-power,1,24,0.053333,1,24,0,1.000000,0.640845,0.359155,1.515152,27.500914,1.660719,455.405328,0.00006347,0.00026547,0.219033,early,10.916667,0.000000,milestone:key-relation:exponents-equal || milestone:derived:solution || action:compute || action:apply-formula || strategy:equate-exponents
milestone:equation-simplified,1,22,0.048889,1,22,0,1.000000,0.642523,0.357477,1.515152,25.072595,1.510353,416.217310,0.00010778,0.00040706,0.359713,middle,11.000000,0.000000,milestone:key-relation:exponents-equal || milestone:derived:solution || milestone:applied:power-of-a-power || action:compute || action:apply-formula
strategy:use-exponent-rule action:apply-formula milestone:applied:power-of-a-power,3,17,0.037778,1,17,0,1.000000,0.646651,0.353349,1.515152,19.153298,1.143871,320.708102,0.00106042,0.00257814,0.009804,early,10.941176,0.000000,strategy:use-exponent-rule action:apply-formula || strategy:use-exponent-rule || milestone:key-relation:exponents-equal || milestone:derived:solution || milestone:applied:power-of-a-power
action:derive-intermediate milestone:key-relation:exponents-equal,2,10,0.022222,1,10,0,1.000000,0.652273,0.347727,1.515152,11.212174,0.652565,192.644271,0.01845094,0.02760544,0.617096,middle,11.700000,0.000000,strategy:solve-linear || strategy:equate-exponents || milestone:key-relation:exponents-equal || milestone:derived:solution || milestone:applied:power-of-a-power
strategy:use-exponent-rule action:apply-formula,2,17,0.037778,1,17,0,1.000000,0.646651,0.353349,1.515152,19.153298,1.143871,320.708102,0.00106042,0.00257814,0.009050,early,10.941176,0.000000,strategy:use-exponent-rule action:apply-formula milestone:applied:power-of-a-power || strategy:use-exponent-rule || milestone:key-relation:exponents-equal || milestone:derived:solution || milestone:applied:power-of-a-power
action:derive-intermediate,1,85,0.188889,7,47,38,0.552941,0.684932,-0.131990,0.837790,0.568862,0.352424,0.918226,0.02263062,0.03297121,0.487557,middle,15.141176,0.070588,action:compute || action:apply-formula || action:analyze || action:conclude || action:instantiate
strategy:use-exponent-rule,1,21,0.046667,1,20,1,0.952381,0.645688,0.306693,1.443001,7.510511,1.414426,39.880325,0.00339145,0.00685584,0.006803,early,10.761905,0.047619,milestone:key-relation:exponents-equal || milestone:derived:solution || milestone:applied:power-of-a-power || action:compute || action:apply-formula
action:compute action:conclude,2,33,0.073333,9,22,11,0.666667,0.659472,0.007194,1.010101,1.011994,0.483460,2.118340,1.00000000,1.00000000,0.931569,late,13.393939,0.030303,action:conclude || action:compute || action:apply-formula || action:analyze || action:derive-intermediate
milestone:applied:power-of-a-power milestone:equation-simplified,2,13,0.028889,1,13,0,1.000000,0.649886,0.350114,1.515152,14.567663,0.860075,246.742056,0.00580935,0.01022550,0.251313,early,10.538462,0.000000,milestone:key-relation:exponents-equal || milestone:equation-simplified || milestone:derived:solution || milestone:applied:power-of-a-power || action:compute
action:conclude,1,237,0.526667,13,194,43,0.818565,0.483568,0.334997,1.240251,4.773669,3.123376,7.295925,0.00000000,0.00000000,0.958101,late,14.810127,0.042194,action:compute || action:apply-formula || action:analyze || action:rewrite || action:instantiate
action:apply-formula milestone:applied:power-of-a-power milestone:equation-simplified,3,11,0.024444,1,11,0,1.000000,0.651481,0.348519,1.515152,12.322862,0.721229,210.547351,0.01900313,0.02779028,0.151154,early,10.272727,0.000000,milestone:key-relation:exponents-equal || milestone:equation-simplified || milestone:derived:solution || milestone:applied:power-of-a-power milestone:equation-simplified || milestone:applied:power-of-a-power
milestone:derived:solution action:conclude,2,19,0.042222,2,19,0,1.000000,0.645012,0.354988,1.515152,21.495512,1.288872,358.497078,0.00035941,0.00104337,1.000000,late,14.210526,0.000000,milestone:derived:solution || action:conclude || action:compute milestone:derived:solution action:conclude || action:compute milestone:derived:solution || action:compute
action:compute milestone:derived:solution action:conclude,3,19,0.042222,2,19,0,1.000000,0.645012,0.354988,1.515152,21.495512,1.288872,358.497078,0.00035941,0.00104337,1.000000,late,14.210526,0.000000,milestone:derived:solution action:conclude || milestone:derived:solution || action:conclude || action:compute milestone:derived:solution || action:compute
action:rewrite,1,171,0.380000,9,138,33,0.807018,0.569892,0.237125,1.222754,3.123427,2.000775,4.876007,0.00000024,0.00000382,0.364647,middle,13.894737,0.087719,action:compute || action:conclude || action:apply-formula || action:analyze || action:instantiate
milestone:reduced-to:one-variable,1,38,0.084444,4,34,4,0.894737,0.638350,0.256387,1.355662,4.349779,1.595953,11.855347,0.00102772,0.00257814,0.639800,middle,14.447368,0.000000,action:compute || action:apply-formula || action:rewrite || action:instantiate || milestone:derived:solution
strategy:set-subgoal action:analyze,2,23,0.051111,5,21,2,0.913043,0.646370,0.266673,1.383399,4.712116,1.252993,17.720794,0.00646847,0.01133440,0.021739,early,10.652174,0.130435,strategy:set-subgoal || action:analyze || milestone:derived:closed-form || action:compute || milestone:key-relation:var1=const-var2
strategy:set-subgoal,1,80,0.177778,7,63,17,0.787500,0.632432,0.155068,1.193182,2.112154,1.194850,3.733683,0.00894808,0.01540179,0.200081,early,12.400000,0.100000,action:compute || action:apply-formula || action:rewrite || action:instantiate || action:analyze
action:simplify,1,112,0.248889,11,76,36,0.678571,0.653846,0.024725,1.028139,1.111815,0.706571,1.749483,0.64751659,0.70953227,0.536079,middle,14.955357,0.080357,action:compute || action:apply-formula || action:analyze || action:conclude || milestone:derived:closed-form
action:analyze,1,249,0.553333,14,154,95,0.618474,0.711443,-0.092969,0.937082,0.659522,0.443463,0.980846,0.04523941,0.06196525,0.065519,early,13.124498,0.184739,action:compute || action:apply-formula || action:conclude || action:instantiate || action:rewrite
noise:corrupted-span,1,97,0.215556,15,16,81,0.164948,0.796034,-0.631086,0.249922,0.052142,0.028941,0.093943,0.00000000,0.00000000,0.692994,late,5.061856,1.000000,action:analyze || action:instantiate || action:apply-formula || action:compute || action:analyze noise:corrupted-span
milestone:applied:power-of-a-power milestone:equation-simplified strategy:equate-exponents,3,10,0.022222,1,10,0,1.000000,0.652273,0.347727,1.515152,11.212174,0.652565,192.644271,0.01845094,0.02760544,0.261111,early,10.400000,0.000000,strategy:equate-exponents || milestone:key-relation:exponents-equal || milestone:equation-simplified strategy:equate-exponents || milestone:equation-simplified || milestone:derived:solution
action:analyze action:apply-formula,2,52,0.115556,8,40,12,0.769231,0.645729,0.123502,1.165501,1.780427,0.914235,3.467294,0.08745431,0.10664492,0.113109,early,14.076923,0.038462,action:apply-formula || action:analyze || action:compute || action:conclude || action:instantiate
action:derive-intermediate action:compute,2,12,0.026667,7,6,6,0.500000,0.664384,-0.164384,0.757576,0.506003,0.167576,1.527896,0.23529633,0.27569360,0.586320,middle,15.500000,0.083333,action:derive-intermediate || action:compute || action:apply-formula || action:analyze || action:instantiate
action:instantiate,1,196,0.435556,12,128,68,0.653061,0.665354,-0.012293,0.989487,0.946257,0.639464,1.400238,0.84101972,0.87945341,0.270210,early,14.117347,0.107143,action:compute || action:apply-formula || action:conclude || action:analyze || action:rewrite
action:check-constraint,1,33,0.073333,7,22,11,0.666667,0.659472,0.007194,1.010101,1.011994,0.483460,2.118340,1.00000000,1.00000000,0.600673,middle,13.333333,0.151515,action:rewrite || action:analyze || action:conclude || action:compute || action:apply-formula
action:apply-formula action:rewrite,2,47,0.104444,6,32,15,0.680851,0.657568,0.023283,1.031593,1.093797,0.577358,2.072185,0.87103064,0.90839388,0.313784,early,13.957447,0.085106,action:rewrite || action:apply-formula || action:compute || action:analyze || action:conclude
noise:corrupted-span action:analyze,2,11,0.024444,7,4,7,0.363636,0.667426,-0.303790,0.550964,0.299489,0.091529,0.979943,0.05071782,0.06922537,0.256680,early,9.545455,1.000000,noise:corrupted-span || action:analyze || action:analyze noise:corrupted-span || action:rewrite || action:analyze action:rewrite
action:analyze noise:corrupted-span,2,18,0.040000,9,5,13,0.277778,0.675926,-0.398148,0.420875,0.195695,0.071156,0.538207,0.00131081,0.00314755,0.648148,middle,5.166667,1.000000,noise:corrupted-span || action:analyze || noise:corrupted-span action:analyze || milestone:identified:base-case || action:instantiate
milestone:key-relation:4d=300,1,13,0.028889,1,13,0,1.000000,0.649886,0.350114,1.515152,14.567663,0.860075,246.742056,0.00580935,0.01022550,0.349021,middle,16.538462,0.000000,action:substitute || action:conclude || action:compute || action:apply-formula || action:analyze
milestone:key-relation:d=75,1,18,0.040000,1,18,0,1.000000,0.645833,0.354167,1.515152,20.320215,1.216110,339.534386,0.00060766,0.00164152,0.463332,middle,15.888889,0.000000,milestone:key-relation:d=75 action:substitute || action:substitute || action:conclude || action:compute || action:apply-formula
milestone:key-relation:d=75 action:substitute,2,18,0.040000,1,18,0,1.000000,0.645833,0.354167,1.515152,20.320215,1.216110,339.534386,0.00060766,0.00164152,0.496939,middle,15.888889,0.000000,milestone:key-relation:d=75 || action:substitute || action:conclude || action:compute || action:apply-formula
action:compute milestone:key-relation:a1=-25,2,13,0.028889,1,13,0,1.000000,0.649886,0.350114,1.515152,14.567663,0.860075,246.742056,0.00580935,0.01022550,0.679916,late,16.461538,0.000000,milestone:key-relation:d=75 action:substitute || milestone:key-relation:d=75 || milestone:key-relation:a6=350 action:conclude || milestone:key-relation:a6=350 || milestone:key-relation:a1=-25 action:apply-formula
action:substitute,1,50,0.111111,2,50,0,1.000000,0.617500,0.382500,1.515152,62.640404,3.836632,1022.725310,0.00000000,0.00000003,0.555097,middle,18.440000,0.000000,action:compute || action:conclude || action:substitute action:compute || action:analyze || strategy:coefficient-matching
action:compute milestone:key-relation:a6=350,2,16,0.035556,1,16,0,1.000000,0.647465,0.352535,1.515152,17.994671,1.072152,302.016929,0.00191580,0.00418677,0.927426,late,16.000000,0.000000,milestone:key-relation:d=75 action:substitute || milestone:key-relation:d=75 || milestone:key-relation:a6=350 action:conclude || milestone:key-relation:a6=350 || action:substitute
action:compute milestone:key-relation:d=75 action:substitute,3,17,0.037778,1,17,0,1.000000,0.646651,0.353349,1.515152,19.153298,1.143871,320.708102,0.00106042,0.00257814,0.452119,middle,15.882353,0.000000,milestone:key-relation:d=75 action:substitute || milestone:key-relation:d=75 || action:substitute || action:conclude || action:compute milestone:key-relation:d=75
milestone:key-relation:4d=300 action:compute milestone:key-relation:d=75,3,11,0.024444,1,11,0,1.000000,0.651481,0.348519,1.515152,12.322862,0.721229,210.547351,0.01900313,0.02779028,0.396797,middle,16.636364,0.000000,milestone:key-relation:d=75 action:substitute || milestone:key-relation:d=75 || milestone:key-relation:4d=300 action:compute || milestone:key-relation:4d=300 || action:substitute
milestone:key-relation:4d=300 action:compute,2,12,0.026667,1,12,0,1.000000,0.650685,0.349315,1.515152,13.441331,0.790400,228.579760,0.01034625,0.01676955,0.362546,middle,16.583333,0.000000,milestone:key-relation:4d=300 || action:substitute || action:conclude || action:compute || action:apply-formula
milestone:key-relation:a6=350 action:conclude,2,16,0.035556,1,16,0,1.000000,0.647465,0.352535,1.515152,17.994671,1.072152,302.016929,0.00191580,0.00418677,1.000000,late,16.000000,0.000000,milestone:key-relation:d=75 action:substitute || milestone:key-relation:d=75 || milestone:key-relation:a6=350 || action:substitute || action:conclude
strategy:plan-use-formula,1,20,0.044444,1,19,1,0.950000,0.646512,0.303488,1.439394,7.118492,1.336769,37.907015,0.00320982,0.00685584,0.030042,early,15.000000,0.100000,action:apply-formula || action:analyze || action:substitute || action:conclude || action:compute
milestone:key-relation:a1=-25,1,13,0.028889,1,13,0,1.000000,0.649886,0.350114,1.515152,14.567663,0.860075,246.742056,0.00580935,0.01022550,0.700939,late,16.461538,0.000000,milestone:key-relation:d=75 action:substitute || milestone:key-relation:d=75 || milestone:key-relation:a6=350 action:conclude || milestone:key-relation:a6=350 || milestone:key-relation:a1=-25 action:apply-formula
action:compute milestone:key-relation:d=75,2,17,0.037778,1,17,0,1.000000,0.646651,0.353349,1.515152,19.153298,1.143871,320.708102,0.00106042,0.00257814,0.419350,middle,15.882353,0.000000,milestone:key-relation:d=75 action:substitute || milestone:key-relation:d=75 || action:substitute || action:conclude || action:compute milestone:key-relation:d=75 action:substitute
action:compute milestone:key-relation:4d=300,2,8,0.017778,1,8,0,1.000000,0.653846,0.346154,1.515152,9.013817,0.516766,157.225823,0.05568102,0.06942281,0.326961,early,16.875000,0.000000,strategy:plan-use-formula || milestone:key-relation:4d=300 || action:substitute || action:conclude || action:compute
milestone:key-relation:a6=350,1,16,0.035556,1,16,0,1.000000,0.647465,0.352535,1.515152,17.994671,1.072152,302.016929,0.00191580,0.00418677,0.932402,late,16.000000,0.000000,milestone:key-relation:d=75 action:substitute || milestone:key-relation:d=75 || milestone:key-relation:a6=350 action:conclude || action:substitute || action:conclude
action:compute milestone:key-relation:a6=350 action:conclude,3,16,0.035556,1,16,0,1.000000,0.647465,0.352535,1.515152,17.994671,1.072152,302.016929,0.00191580,0.00418677,1.000000,late,16.000000,0.000000,milestone:key-relation:d=75 action:substitute || milestone:key-relation:d=75 || milestone:key-relation:a6=350 action:conclude || milestone:key-relation:a6=350 || action:substitute
milestone:key-relation:a1=-25 action:apply-formula,2,13,0.028889,1,13,0,1.000000,0.649886,0.350114,1.515152,14.567663,0.860075,246.742056,0.00580935,0.01022550,0.750007,late,16.461538,0.000000,milestone:key-relation:d=75 action:substitute || milestone:key-relation:d=75 || milestone:key-relation:a6=350 action:conclude || milestone:key-relation:a6=350 || milestone:key-relation:a1=-25
action:compute milestone:key-relation:a1=-25 action:apply-formula,3,13,0.028889,1,13,0,1.000000,0.649886,0.350114,1.515152,14.567663,0.860075,246.742056,0.00580935,0.01022550,0.731118,late,16.461538,0.000000,milestone:key-relation:d=75 action:substitute || milestone:key-relation:d=75 || milestone:key-relation:a6=350 action:conclude || milestone:key-relation:a6=350 || milestone:key-relation:a1=-25 action:apply-formula
milestone:key-relation:d=75 action:substitute action:compute,3,13,0.028889,1,13,0,1.000000,0.649886,0.350114,1.515152,14.567663,0.860075,246.742056,0.00580935,0.01022550,0.556382,middle,15.615385,0.000000,milestone:key-relation:d=75 action:substitute || milestone:key-relation:d=75 || action:substitute action:compute || action:substitute || action:conclude
action:substitute action:compute,2,36,0.080000,2,36,0,1.000000,0.630435,0.369565,1.515152,42.850860,2.611278,703.179244,0.00000017,0.00000293,0.707241,late,18.333333,0.000000,action:substitute || action:compute || action:conclude || action:analyze || strategy:coefficient-matching
action:apply-formula action:compute milestone:key-relation:a6=350,3,8,0.017778,1,8,0,1.000000,0.653846,0.346154,1.515152,9.013817,0.516766,157.225823,0.05568102,0.06942281,0.920396,late,15.750000,0.000000,milestone:key-relation:d=75 action:substitute || milestone:key-relation:d=75 || milestone:key-relation:a6=350 action:conclude || milestone:key-relation:a6=350 || action:substitute
action:substitute action:compute milestone:key-relation:a1=-25,3,8,0.017778,1,8,0,1.000000,0.653846,0.346154,1.515152,9.013817,0.516766,157.225823,0.05568102,0.06942281,0.657018,middle,15.875000,0.000000,strategy:plan-use-formula || milestone:key-relation:d=75 action:substitute action:compute || milestone:key-relation:d=75 action:substitute || milestone:key-relation:d=75 || milestone:key-relation:a6=350 action:conclude
action:apply-formula action:compute,2,90,0.200000,9,67,23,0.744444,0.638889,0.105556,1.127946,1.626206,0.970469,2.725018,0.06273811,0.07772333,0.529831,middle,14.311111,0.077778,action:compute || action:apply-formula || action:instantiate || action:conclude || action:analyze
action:apply-formula action:substitute,2,8,0.017778,1,8,0,1.000000,0.653846,0.346154,1.515152,9.013817,0.516766,157.225823,0.05568102,0.06942281,0.763946,late,15.375000,0.000000,action:substitute || action:conclude || action:compute || action:apply-formula || action:analyze
strategy:plan-use-formula action:analyze,2,12,0.026667,1,12,0,1.000000,0.650685,0.349315,1.515152,13.441331,0.790400,228.579760,0.01034625,0.01676955,0.000000,early,15.833333,0.000000,strategy:plan-use-formula || action:substitute || action:conclude || action:compute || action:apply-formula
strategy:plan-use-formula action:analyze action:apply-formula,3,10,0.022222,1,10,0,1.000000,0.652273,0.347727,1.515152,11.212174,0.652565,192.644271,0.01845094,0.02760544,0.000000,early,15.600000,0.000000,strategy:plan-use-formula action:analyze || strategy:plan-use-formula || action:substitute || action:conclude || action:compute
action:analyze action:apply-formula action:compute,3,9,0.020000,5,7,2,0.777778,0.657596,0.120181,1.178451,1.564544,0.368910,6.635208,0.72437983,0.77840815,0.206393,early,14.222222,0.000000,action:compute || action:apply-formula action:compute || action:apply-formula || action:analyze action:apply-formula || action:analyze
action:analyze action:instantiate,2,51,0.113333,10,35,16,0.686275,0.656642,0.029633,1.039810,1.126984,0.606640,2.093651,0.75468166,0.79958704,0.106223,early,13.725490,0.156863,action:instantiate || action:analyze || action:compute || action:conclude || action:apply-formula
action:instantiate action:apply-formula action:compute,3,35,0.077778,5,29,6,0.828571,0.645783,0.182788,1.255411,2.493196,1.041720,5.967079,0.03933058,0.05425388,0.275911,early,12.800000,0.057143,action:instantiate action:apply-formula || action:instantiate || action:compute || action:apply-formula action:compute || action:apply-formula
action:analyze action:instantiate action:apply-formula,3,21,0.046667,7,18,3,0.857143,0.650350,0.206793,1.298701,2.846154,0.892644,9.074831,0.05925084,0.07363763,0.116257,early,14.809524,0.047619,action:instantiate action:apply-formula || action:instantiate || action:apply-formula || action:analyze action:instantiate || action:analyze
action:instantiate action:apply-formula,2,74,0.164444,7,51,23,0.689189,0.654255,0.034934,1.044226,1.160200,0.681494,1.975168,0.59398928,0.65456609,0.234872,early,14.945946,0.067568,action:instantiate || action:apply-formula || action:compute || action:conclude || action:apply-formula action:compute
action:simplify action:compute,2,14,0.031111,4,10,4,0.714286,0.658257,0.056029,1.082251,1.213333,0.395143,3.725686,0.78039066,0.82268825,0.587306,middle,15.285714,0.071429,action:simplify || action:compute || action:apply-formula || action:analyze || action:conclude
action:apply-formula action:simplify,2,21,0.046667,6,17,4,0.809524,0.652681,0.156843,1.226551,2.072688,0.721839,5.951511,0.16254281,0.19218587,0.432710,middle,15.714286,0.095238,action:simplify || action:apply-formula || action:analyze || action:compute || action:conclude
action:instantiate action:analyze,2,10,0.022222,4,6,4,0.600000,0.661364,-0.061364,0.909091,0.740804,0.219141,2.504287,0.74018312,0.79319899,0.144488,early,17.400000,0.200000,action:instantiate || action:analyze || action:apply-formula || action:compute || action:conclude
milestone:key-relation:volume-formula action:instantiate action:apply-formula,3,20,0.044444,1,20,0,1.000000,0.644186,0.355814,1.515152,22.679279,1.362164,377.597528,0.00035114,0.00104337,0.152083,early,10.200000,0.000000,strategy:use-formula || milestone:key-relation:volume-formula action:instantiate || milestone:key-relation:volume-formula || milestone:final-value || action:instantiate action:apply-formula
action:conclude milestone:final-value,2,24,0.053333,1,24,0,1.000000,0.640845,0.359155,1.515152,27.500914,1.660719,455.405328,0.00006347,0.00026547,1.000000,late,10.333333,0.000000,strategy:use-formula || milestone:key-relation:volume-formula || milestone:final-value || action:conclude || action:compute
milestone:key-relation:volume-formula action:instantiate,2,22,0.048889,1,20,2,0.909091,0.647196,0.261895,1.377410,4.476757,1.186526,16.890777,0.01026475,0.01676955,0.166847,early,9.636364,0.090909,milestone:key-relation:volume-formula || action:instantiate || strategy:use-formula || milestone:key-relation:volume-formula action:instantiate action:apply-formula || milestone:final-value
milestone:derived:closed-form action:conclude,2,12,0.026667,3,11,1,0.916667,0.652968,0.263699,1.388889,4.080861,0.736017,22.626416,0.06676503,0.08218860,0.968750,late,12.750000,0.000000,milestone:derived:closed-form || action:conclude || action:compute || action:apply-formula || action:instantiate
action:compute milestone:derived:closed-form action:conclude,3,10,0.022222,3,10,0,1.000000,0.652273,0.347727,1.515152,11.212174,0.652565,192.644271,0.01845094,0.02760544,0.971429,late,13.200000,0.000000,milestone:derived:closed-form action:conclude || milestone:derived:closed-form || action:conclude || action:compute milestone:derived:closed-form || action:compute
action:compute milestone:intermediate-product,2,25,0.055556,1,25,0,1.000000,0.640000,0.360000,1.515152,28.728440,1.736732,475.216198,0.00003386,0.00018294,0.528190,middle,10.440000,0.000000,strategy:use-formula || milestone:key-relation:volume-formula || milestone:intermediate-product || milestone:final-value || action:compute
milestone:final-value,1,26,0.057778,1,26,0,1.000000,0.639151,0.360849,1.515152,29.965009,1.813307,495.173716,0.00001878,0.00014327,0.996503,late,10.423077,0.000000,strategy:use-formula || milestone:key-relation:volume-formula || action:compute || milestone:intermediate-product || action:instantiate action:apply-formula
strategy:use-formula milestone:key-relation:volume-formula,2,23,0.051111,1,22,1,0.956522,0.644028,0.312494,1.449275,8.303085,1.571473,43.870453,0.00110452,0.00266870,0.000000,early,9.956522,0.043478,strategy:use-formula || milestone:key-relation:volume-formula || milestone:final-value || action:instantiate || action:conclude
action:compute milestone:derived:closed-form,2,48,0.106667,6,26,22,0.541667,0.674129,-0.132463,0.820707,0.570452,0.313314,1.038623,0.07666292,0.09377948,0.800142,late,14.375000,0.062500,milestone:derived:closed-form || action:compute || action:analyze || action:apply-formula || action:instantiate
strategy:use-formula,1,28,0.062222,1,26,2,0.928571,0.642180,0.286391,1.406926,5.914917,1.592915,21.963661,0.00147840,0.00350669,0.024351,early,10.000000,0.071429,milestone:key-relation:volume-formula || milestone:final-value || action:instantiate || action:compute || milestone:intermediate-product
