motif,motif_length,support,prevalence,question_coverage,success_present,failure_present,success_rate_present,success_rate_absent,support_difference,lift_overall_success,odds_ratio,odds_ratio_ci_low,odds_ratio_ci_high,fisher_p_value,fdr_q_value,avg_stage_position,stage_bucket,avg_trace_length_present,noise_cooccurrence_rate,top_neighbor_motifs
strategy:equate-exponents action:compare,2,15,0.033333,1,15,0,1.000000,0.648276,0.351724,1.515152,16.844248,1.000949,283.459625,0.00357773,0.00768549,0.481215,middle,10.600000,0.000000,action:apply-formula milestone:applied:power-of-a-power || milestone:equation-simplified strategy:equate-exponents action:compare || milestone:equation-simplified strategy:equate-exponents || strategy:use-exponent-rule action:apply-formula milestone:applied:power-of-a-power || strategy:use-exponent-rule action:apply-formula
action:derive-intermediate milestone:key-relation:exponents-equal,2,10,0.022222,1,10,0,1.000000,0.652273,0.347727,1.515152,11.212174,0.652565,192.644271,0.01845094,0.02962853,0.617096,middle,11.700000,0.000000,strategy:solve-linear action:compute || action:apply-formula milestone:applied:power-of-a-power || strategy:use-exponent-rule action:apply-formula milestone:applied:power-of-a-power || strategy:use-exponent-rule action:apply-formula || milestone:key-relation:exponents-equal strategy:solve-linear
strategy:use-exponent-rule action:apply-formula,2,17,0.037778,1,17,0,1.000000,0.646651,0.353349,1.515152,19.153298,1.143871,320.708102,0.00106042,0.00310628,0.009050,early,10.941176,0.000000,strategy:use-exponent-rule action:apply-formula milestone:applied:power-of-a-power || action:apply-formula milestone:applied:power-of-a-power || strategy:solve-linear action:compute || milestone:equation-simplified strategy:equate-exponents || strategy:equate-exponents action:compare
action:apply-formula milestone:applied:power-of-a-power milestone:equation-simplified,3,11,0.024444,1,11,0,1.000000,0.651481,0.348519,1.515152,12.322862,0.721229,210.547351,0.01900313,0.02962853,0.151154,early,10.272727,0.000000,milestone:applied:power-of-a-power milestone:equation-simplified || action:apply-formula milestone:applied:power-of-a-power || strategy:use-exponent-rule action:apply-formula milestone:applied:power-of-a-power || strategy:use-exponent-rule action:apply-formula || milestone:equation-simplified strategy:equate-exponents
action:compute action:conclude,2,33,0.073333,9,22,11,0.666667,0.659472,0.007194,1.010101,1.011994,0.483460,2.118340,1.00000000,1.00000000,0.931569,late,13.393939,0.030303,action:apply-formula action:rewrite || action:rewrite action:compute || action:compute action:derive-intermediate || action:instantiate action:apply-formula || action:conclude milestone:derived:closed-form
milestone:applied:power-of-a-power milestone:equation-simplified,2,13,0.028889,1,13,0,1.000000,0.649886,0.350114,1.515152,14.567663,0.860075,246.742056,0.00580935,0.01130678,0.251313,early,10.538462,0.000000,action:apply-formula milestone:applied:power-of-a-power milestone:equation-simplified || action:apply-formula milestone:applied:power-of-a-power || milestone:equation-simplified strategy:equate-exponents || milestone:applied:power-of-a-power milestone:equation-simplified strategy:equate-exponents || strategy:use-exponent-rule action:apply-formula milestone:applied:power-of-a-power
strategy:set-subgoal action:analyze,2,23,0.051111,5,21,2,0.913043,0.646370,0.266673,1.383399,4.712116,1.252993,17.720794,0.00646847,0.01250572,0.021739,early,10.652174,0.130435,action:analyze action:apply-formula || action:rewrite milestone:key-relation:var1=const-var2 || action:apply-formula action:rewrite || strategy:set-subgoal action:analyze action:apply-formula || action:compute milestone:derived:closed-form
milestone:applied:power-of-a-power milestone:equation-simplified strategy:equate-exponents,3,10,0.022222,1,10,0,1.000000,0.652273,0.347727,1.515152,11.212174,0.652565,192.644271,0.01845094,0.02962853,0.261111,early,10.400000,0.000000,milestone:equation-simplified strategy:equate-exponents || milestone:applied:power-of-a-power milestone:equation-simplified || strategy:use-exponent-rule action:apply-formula milestone:applied:power-of-a-power || strategy:use-exponent-rule action:apply-formula || action:apply-formula milestone:applied:power-of-a-power milestone:equation-simplified
action:analyze action:apply-formula,2,52,0.115556,8,40,12,0.769231,0.645729,0.123502,1.165501,1.780427,0.914235,3.467294,0.08745431,0.10931789,0.113109,early,14.076923,0.038462,action:apply-formula action:compute || action:compute milestone:derived:closed-form || action:apply-formula action:rewrite || action:analyze action:apply-formula action:rewrite || strategy:set-subgoal action:analyze
action:derive-intermediate action:compute,2,12,0.026667,7,6,6,0.500000,0.664384,-0.164384,0.757576,0.506003,0.167576,1.527896,0.23529633,0.27851403,0.586320,middle,15.500000,0.083333,action:apply-formula action:compute || milestone:key-relation:math-remaining action:apply-formula milestone:key-relation:fraction-raw || milestone:key-relation:math-remaining action:apply-formula || action:simplify milestone:key-relation:fraction-simplified || action:rewrite action:compute
action:apply-formula action:rewrite,2,47,0.104444,6,32,15,0.680851,0.657568,0.023283,1.031593,1.093797,0.577358,2.072185,0.87103064,0.91854140,0.313784,early,13.957447,0.085106,action:rewrite action:compute || action:apply-formula action:rewrite action:compute || action:instantiate action:apply-formula || action:instantiate action:apply-formula action:rewrite || action:compute milestone:derived:closed-form
noise:corrupted-span action:analyze,2,11,0.024444,7,4,7,0.363636,0.667426,-0.303790,0.550964,0.299489,0.091529,0.979943,0.05071782,0.07176664,0.256680,early,9.545455,1.000000,action:analyze noise:corrupted-span || action:analyze action:rewrite || action:instantiate action:compute || strategy:choose-representation action:apply-formula || milestone:derived:coefficient action:compute milestone:derived:power-terms
action:analyze noise:corrupted-span,2,18,0.040000,9,5,13,0.277778,0.675926,-0.398148,0.420875,0.195695,0.071156,0.538207,0.00131081,0.00376370,0.648148,middle,5.166667,1.000000,noise:corrupted-span action:analyze || action:analyze milestone:identified:base-case || strategy:set-subgoal action:analyze || action:instantiate action:compute || action:instantiate action:analyze
milestone:key-relation:d=75 action:substitute,2,18,0.040000,1,18,0,1.000000,0.645833,0.354167,1.515152,20.320215,1.216110,339.534386,0.00060766,0.00209787,0.496939,middle,15.888889,0.000000,action:compute milestone:key-relation:d=75 action:substitute || action:compute milestone:key-relation:d=75 || milestone:key-relation:a6=350 action:conclude || action:compute milestone:key-relation:a6=350 action:conclude || action:compute milestone:key-relation:a6=350
action:compute milestone:key-relation:d=75 action:substitute,3,17,0.037778,1,17,0,1.000000,0.646651,0.353349,1.515152,19.153298,1.143871,320.708102,0.00106042,0.00310628,0.452119,middle,15.882353,0.000000,milestone:key-relation:d=75 action:substitute || action:compute milestone:key-relation:d=75 || milestone:key-relation:a6=350 action:conclude || action:compute milestone:key-relation:a6=350 action:conclude || action:compute milestone:key-relation:a6=350
action:compute milestone:key-relation:d=75,2,17,0.037778,1,17,0,1.000000,0.646651,0.353349,1.515152,19.153298,1.143871,320.708102,0.00106042,0.00310628,0.419350,middle,15.882353,0.000000,milestone:key-relation:d=75 action:substitute || action:compute milestone:key-relation:d=75 action:substitute || milestone:key-relation:a6=350 action:conclude || action:compute milestone:key-relation:a6=350 action:conclude || action:compute milestone:key-relation:a6=350
milestone:key-relation:4d=300 action:compute milestone:key-relation:d=75,3,11,0.024444,1,11,0,1.000000,0.651481,0.348519,1.515152,12.322862,0.721229,210.547351,0.01900313,0.02962853,0.396797,middle,16.636364,0.000000,milestone:key-relation:d=75 action:substitute || milestone:key-relation:4d=300 action:compute || action:compute milestone:key-relation:d=75 action:substitute || action:compute milestone:key-relation:d=75 || milestone:key-relation:a6=350 action:conclude
milestone:key-relation:a1=-25 action:apply-formula,2,13,0.028889,1,13,0,1.000000,0.649886,0.350114,1.515152,14.567663,0.860075,246.742056,0.00580935,0.01130678,0.750007,late,16.461538,0.000000,milestone:key-relation:d=75 action:substitute || milestone:key-relation:a6=350 action:conclude || action:compute milestone:key-relation:a6=350 action:conclude || action:compute milestone:key-relation:a6=350 || action:compute milestone:key-relation:a1=-25 action:apply-formula
action:compute milestone:key-relation:a1=-25 action:apply-formula,3,13,0.028889,1,13,0,1.000000,0.649886,0.350114,1.515152,14.567663,0.860075,246.742056,0.00580935,0.01130678,0.731118,late,16.461538,0.000000,milestone:key-relation:d=75 action:substitute || milestone:key-relation:a6=350 action:conclude || milestone:key-relation:a1=-25 action:apply-formula || action:compute milestone:key-relation:a6=350 action:conclude || action:compute milestone:key-relation:a6=350
milestone:key-relation:a6=350 action:conclude,2,16,0.035556,1,16,0,1.000000,0.647465,0.352535,1.515152,17.994671,1.072152,302.016929,0.00191580,0.00496055,1.000000,late,16.000000,0.000000,milestone:key-relation:d=75 action:substitute || action:compute milestone:key-relation:a6=350 action:conclude || action:compute milestone:key-relation:a6=350 || action:compute milestone:key-relation:d=75 action:substitute || action:compute milestone:key-relation:d=75
action:compute milestone:key-relation:a6=350,2,16,0.035556,1,16,0,1.000000,0.647465,0.352535,1.515152,17.994671,1.072152,302.016929,0.00191580,0.00496055,0.927426,late,16.000000,0.000000,milestone:key-relation:d=75 action:substitute || milestone:key-relation:a6=350 action:conclude || action:compute milestone:key-relation:a6=350 action:conclude || action:compute milestone:key-relation:d=75 action:substitute || action:compute milestone:key-relation:d=75
milestone:key-relation:4d=300 action:compute,2,12,0.026667,1,12,0,1.000000,0.650685,0.349315,1.515152,13.441331,0.790400,228.579760,0.01034625,0.01818433,0.362546,middle,16.583333,0.000000,milestone:key-relation:d=75 action:substitute || milestone:key-relation:4d=300 action:compute milestone:key-relation:d=75 || action:compute milestone:key-relation:d=75 action:substitute || action:compute milestone:key-relation:d=75 || milestone:key-relation:a6=350 action:conclude
action:compute milestone:key-relation:4d=300,2,8,0.017778,1,8,0,1.000000,0.653846,0.346154,1.515152,9.013817,0.516766,157.225823,0.05568102,0.07176664,0.326961,early,16.875000,0.000000,milestone:key-relation:d=75 action:substitute || milestone:key-relation:a6=350 action:conclude || milestone:key-relation:a1=-25 action:apply-formula || milestone:key-relation:4d=300 action:compute || action:compute milestone:key-relation:a6=350 action:conclude
action:compute milestone:key-relation:a6=350 action:conclude,3,16,0.035556,1,16,0,1.000000,0.647465,0.352535,1.515152,17.994671,1.072152,302.016929,0.00191580,0.00496055,1.000000,late,16.000000,0.000000,milestone:key-relation:d=75 action:substitute || milestone:key-relation:a6=350 action:conclude || action:compute milestone:key-relation:a6=350 || action:compute milestone:key-relation:d=75 action:substitute || action:compute milestone:key-relation:d=75
action:compute milestone:key-relation:a1=-25,2,13,0.028889,1,13,0,1.000000,0.649886,0.350114,1.515152,14.567663,0.860075,246.742056,0.00580935,0.01130678,0.679916,late,16.461538,0.000000,milestone:key-relation:d=75 action:substitute || milestone:key-relation:a6=350 action:conclude || milestone:key-relation:a1=-25 action:apply-formula || action:compute milestone:key-relation:a6=350 action:conclude || action:compute milestone:key-relation:a6=350
action:apply-formula action:compute,2,90,0.200000,9,67,23,0.744444,0.638889,0.105556,1.127946,1.626206,0.970469,2.725018,0.06273811,0.08015001,0.529831,middle,14.311111,0.077778,action:instantiate action:apply-formula || action:instantiate action:apply-formula action:compute || action:analyze action:apply-formula || action:rewrite action:compute || action:analyze action:instantiate
action:substitute action:compute,2,36,0.080000,2,36,0,1.000000,0.630435,0.369565,1.515152,42.850860,2.611278,703.179244,0.00000017,0.00000627,0.707241,late,18.333333,0.000000,action:solve action:substitute action:compute || action:solve action:substitute || action:expand action:collect-like-terms strategy:coefficient-matching || action:expand action:collect-like-terms || action:equate action:expand action:collect-like-terms
action:apply-formula action:compute milestone:key-relation:a6=350,3,8,0.017778,1,8,0,1.000000,0.653846,0.346154,1.515152,9.013817,0.516766,157.225823,0.05568102,0.07176664,0.920396,late,15.750000,0.000000,milestone:key-relation:d=75 action:substitute || milestone:key-relation:a6=350 action:conclude || action:compute milestone:key-relation:a6=350 action:conclude || action:compute milestone:key-relation:a6=350 || action:apply-formula action:compute
milestone:key-relation:d=75 action:substitute action:compute,3,13,0.028889,1,13,0,1.000000,0.649886,0.350114,1.515152,14.567663,0.860075,246.742056,0.00580935,0.01130678,0.556382,middle,15.615385,0.000000,milestone:key-relation:d=75 action:substitute || action:substitute action:compute || milestone:key-relation:a6=350 action:conclude || action:compute milestone:key-relation:d=75 action:substitute || action:compute milestone:key-relation:d=75
action:substitute action:compute milestone:key-relation:a1=-25,3,8,0.017778,1,8,0,1.000000,0.653846,0.346154,1.515152,9.013817,0.516766,157.225823,0.05568102,0.07176664,0.657018,middle,15.875000,0.000000,milestone:key-relation:d=75 action:substitute action:compute || milestone:key-relation:d=75 action:substitute || milestone:key-relation:a6=350 action:conclude || milestone:key-relation:a1=-25 action:apply-formula || action:substitute action:compute
action:apply-formula action:substitute,2,8,0.017778,1,8,0,1.000000,0.653846,0.346154,1.515152,9.013817,0.516766,157.225823,0.05568102,0.07176664,0.763946,late,15.375000,0.000000,action:substitute action:compute || milestone:key-relation:d=75 action:substitute || milestone:key-relation:a6=350 action:conclude || action:compute milestone:key-relation:d=75 action:substitute || action:compute milestone:key-relation:d=75
strategy:plan-use-formula action:analyze action:apply-formula,3,10,0.022222,1,10,0,1.000000,0.652273,0.347727,1.515152,11.212174,0.652565,192.644271,0.01845094,0.02962853,0.000000,early,15.600000,0.000000,strategy:plan-use-formula action:analyze || action:analyze action:apply-formula || milestone:key-relation:d=75 action:substitute || milestone:key-relation:a6=350 action:conclude || action:substitute action:compute
action:analyze action:apply-formula action:compute,3,9,0.020000,5,7,2,0.777778,0.657596,0.120181,1.178451,1.564544,0.368910,6.635208,0.72437983,0.78677959,0.206393,early,14.222222,0.000000,action:apply-formula action:compute || action:analyze action:apply-formula || action:instantiate action:analyze || action:apply-formula action:substitute || strategy:choose-representation action:analyze
strategy:plan-use-formula action:analyze,2,12,0.026667,1,12,0,1.000000,0.650685,0.349315,1.515152,13.441331,0.790400,228.579760,0.01034625,0.01818433,0.000000,early,15.833333,0.000000,strategy:plan-use-formula action:analyze action:apply-formula || action:substitute action:compute || action:analyze action:apply-formula || milestone:key-relation:d=75 action:substitute || milestone:key-relation:a6=350 action:conclude
action:instantiate action:apply-formula,2,74,0.164444,7,51,23,0.689189,0.654255,0.034934,1.044226,1.160200,0.681494,1.975168,0.59398928,0.65998809,0.234872,early,14.945946,0.067568,action:apply-formula action:compute || action:instantiate action:apply-formula action:compute || action:rewrite action:compute || action:compute milestone:intermediate-product || action:analyze action:instantiate
action:analyze action:instantiate,2,51,0.113333,10,35,16,0.686275,0.656642,0.029633,1.039810,1.126984,0.606640,2.093651,0.75468166,0.80945493,0.106223,early,13.725490,0.156863,action:rewrite action:compute || action:instantiate action:apply-formula || action:apply-formula action:compute || action:analyze action:instantiate action:apply-formula || strategy:choose-representation action:analyze action:instantiate
action:instantiate action:apply-formula action:compute,3,35,0.077778,5,29,6,0.828571,0.645783,0.182788,1.255411,2.493196,1.041720,5.967079,0.03933058,0.05731592,0.275911,early,12.800000,0.057143,action:instantiate action:apply-formula || action:apply-formula action:compute || action:compute milestone:intermediate-product || action:apply-formula action:compute milestone:intermediate-product || milestone:intermediate-product action:compute
action:analyze action:instantiate action:apply-formula,3,21,0.046667,7,18,3,0.857143,0.650350,0.206793,1.298701,2.846154,0.892644,9.074831,0.05925084,0.07602984,0.116257,early,14.809524,0.047619,action:instantiate action:apply-formula || action:analyze action:instantiate || action:apply-formula action:compute || action:rewrite action:compute || strategy:choose-representation action:analyze action:instantiate
action:simplify action:compute,2,14,0.031111,4,10,4,0.714286,0.658257,0.056029,1.082251,1.213333,0.395143,3.725686,0.78039066,0.83203416,0.587306,middle,15.285714,0.071429,milestone:key-relation:d=75 action:substitute || action:apply-formula action:compute || action:compute milestone:key-relation:d=75 action:substitute || action:compute milestone:key-relation:d=75 || action:analyze action:apply-formula
action:apply-formula action:simplify,2,21,0.046667,6,17,4,0.809524,0.652681,0.156843,1.226551,2.072688,0.721839,5.951511,0.16254281,0.19478270,0.432710,middle,15.714286,0.095238,action:apply-formula action:compute || action:instantiate action:apply-formula || action:analyze action:instantiate || milestone:key-relation:d=75 action:substitute || action:simplify action:rewrite
action:instantiate action:analyze,2,10,0.022222,4,6,4,0.600000,0.661364,-0.061364,0.909091,0.740804,0.219141,2.504287,0.74018312,0.80094442,0.144488,early,17.400000,0.200000,action:apply-formula action:compute || action:analyze action:apply-formula || action:analyze action:instantiate || action:analyze action:apply-formula action:compute || action:substitute action:compute
action:compute milestone:intermediate-product,2,25,0.055556,1,25,0,1.000000,0.640000,0.360000,1.515152,28.728440,1.736732,475.216198,0.00003386,0.00027277,0.528190,middle,10.440000,0.000000,action:instantiate action:apply-formula || milestone:intermediate-product action:compute || action:compute milestone:intermediate-product action:compute || strategy:use-formula milestone:key-relation:volume-formula || action:instantiate action:apply-formula action:compute
strategy:use-formula milestone:key-relation:volume-formula action:instantiate,3,19,0.042222,1,18,1,0.947368,0.647332,0.300037,1.435407,6.729278,1.259685,35.948024,0.00534407,0.01130678,0.000000,early,9.789474,0.052632,strategy:use-formula milestone:key-relation:volume-formula || milestone:key-relation:volume-formula action:instantiate || milestone:key-relation:volume-formula action:instantiate action:apply-formula || action:instantiate action:apply-formula || action:compute milestone:intermediate-product
action:compute milestone:derived:closed-form,2,48,0.106667,6,26,22,0.541667,0.674129,-0.132463,0.820707,0.570452,0.313314,1.038623,0.07666292,0.09624349,0.800142,late,14.375000,0.062500,action:rewrite action:compute || action:analyze action:apply-formula || action:apply-formula action:rewrite || action:compute milestone:derived:power-terms || action:compute milestone:derived:coefficient
action:apply-formula action:compute milestone:intermediate-product,3,20,0.044444,1,20,0,1.000000,0.644186,0.355814,1.515152,22.679279,1.362164,377.597528,0.00035114,0.00135364,0.456349,middle,10.400000,0.000000,action:instantiate action:apply-formula action:compute || action:instantiate action:apply-formula || action:compute milestone:intermediate-product || action:apply-formula action:compute || milestone:intermediate-product action:compute
action:compute milestone:intermediate-product action:compute,3,23,0.051111,1,23,0,1.000000,0.641686,0.358314,1.515152,26.282332,1.585261,435.739543,0.00006291,0.00037563,0.600190,middle,10.434783,0.000000,milestone:intermediate-product action:compute || action:compute milestone:intermediate-product || action:instantiate action:apply-formula || strategy:use-formula milestone:key-relation:volume-formula || action:instantiate action:apply-formula action:compute
milestone:intermediate-product action:compute,2,23,0.051111,1,23,0,1.000000,0.641686,0.358314,1.515152,26.282332,1.585261,435.739543,0.00006291,0.00037563,0.648447,middle,10.434783,0.000000,action:compute milestone:intermediate-product action:compute || action:compute milestone:intermediate-product || action:instantiate action:apply-formula || strategy:use-formula milestone:key-relation:volume-formula || action:instantiate action:apply-formula action:compute
milestone:key-relation:volume-formula action:instantiate action:apply-formula,3,20,0.044444,1,20,0,1.000000,0.644186,0.355814,1.515152,22.679279,1.362164,377.597528,0.00035114,0.00135364,0.152083,early,10.200000,0.000000,milestone:key-relation:volume-formula action:instantiate || action:instantiate action:apply-formula || action:compute milestone:intermediate-product || strategy:use-formula milestone:key-relation:volume-formula action:instantiate || strategy:use-formula milestone:key-relation:volume-formula
action:compute milestone:derived:closed-form action:conclude,3,10,0.022222,3,10,0,1.000000,0.652273,0.347727,1.515152,11.212174,0.652565,192.644271,0.01845094,0.02962853,0.971429,late,13.200000,0.000000,milestone:derived:closed-form action:conclude || action:compute milestone:derived:closed-form || action:apply-formula action:rewrite || strategy:set-subgoal action:analyze || action:rewrite action:compute milestone:derived:closed-form
milestone:key-relation:volume-formula action:instantiate,2,22,0.048889,1,20,2,0.909091,0.647196,0.261895,1.377410,4.476757,1.186526,16.890777,0.01026475,0.01818433,0.166847,early,9.636364,0.090909,milestone:key-relation:volume-formula action:instantiate action:apply-formula || action:instantiate action:apply-formula || strategy:use-formula milestone:key-relation:volume-formula action:instantiate || strategy:use-formula milestone:key-relation:volume-formula || action:compute milestone:intermediate-product
milestone:derived:closed-form action:conclude,2,12,0.026667,3,11,1,0.916667,0.652968,0.263699,1.388889,4.080861,0.736017,22.626416,0.06676503,0.08454960,0.968750,late,12.750000,0.000000,action:compute milestone:derived:closed-form action:conclude || action:compute milestone:derived:closed-form || action:apply-formula action:rewrite || strategy:set-subgoal action:analyze || action:rewrite action:compute milestone:derived:closed-form
strategy:use-formula milestone:key-relation:volume-formula,2,23,0.051111,1,22,1,0.956522,0.644028,0.312494,1.449275,8.303085,1.571473,43.870453,0.00110452,0.00320312,0.000000,early,9.956522,0.043478,action:instantiate action:apply-formula || action:compute milestone:intermediate-product || milestone:intermediate-product action:compute || action:compute milestone:intermediate-product action:compute || strategy:use-formula milestone:key-relation:volume-formula action:instantiate
action:compute milestone:intermediate-fraction action:conclude,3,15,0.033333,1,15,0,1.000000,0.648276,0.351724,1.515152,16.844248,1.000949,283.459625,0.00357773,0.00768549,0.865873,late,10.533333,0.000000,milestone:intermediate-product action:compute milestone:intermediate-fraction || milestone:intermediate-product action:compute || milestone:intermediate-fraction action:conclude || action:instantiate action:apply-formula || action:compute milestone:intermediate-product action:compute
milestone:intermediate-fraction action:conclude,2,16,0.035556,1,16,0,1.000000,0.647465,0.352535,1.515152,17.994671,1.072152,302.016929,0.00191580,0.00496055,0.882292,late,10.562500,0.000000,action:instantiate action:apply-formula || action:compute milestone:intermediate-product || milestone:intermediate-product action:compute milestone:intermediate-fraction || milestone:intermediate-product action:compute || action:compute milestone:intermediate-product action:compute
milestone:intermediate-product action:compute milestone:intermediate-fraction,3,17,0.037778,1,17,0,1.000000,0.646651,0.353349,1.515152,19.153298,1.143871,320.708102,0.00106042,0.00310628,0.728992,late,10.647059,0.000000,milestone:intermediate-product action:compute || action:instantiate action:apply-formula || action:compute milestone:intermediate-product action:compute || action:compute milestone:intermediate-product || action:compute milestone:intermediate-fraction
action:compute milestone:intermediate-fraction,2,18,0.040000,1,18,0,1.000000,0.645833,0.354167,1.515152,20.320215,1.216110,339.534386,0.00060766,0.00209787,0.753241,late,10.611111,0.000000,action:instantiate action:apply-formula || milestone:intermediate-product action:compute milestone:intermediate-fraction || milestone:intermediate-product action:compute || action:compute milestone:intermediate-product action:compute || action:compute milestone:intermediate-product
action:analyze action:apply-formula action:rewrite,3,14,0.031111,2,14,0,1.000000,0.649083,0.350917,1.515152,15.701940,0.930258,265.035026,0.00337146,0.00768549,0.128319,early,11.285714,0.071429,action:apply-formula action:rewrite || action:analyze action:apply-formula || strategy:set-subgoal action:analyze || strategy:set-subgoal action:analyze action:apply-formula || action:compute milestone:derived:closed-form
action:compute milestone:derived:expression:hypotenuse,2,10,0.022222,1,10,0,1.000000,0.652273,0.347727,1.515152,11.212174,0.652565,192.644271,0.01845094,0.02962853,0.679569,late,13.000000,0.000000,action:compute milestone:derived:closed-form || action:rewrite milestone:key-relation:var1=const-var2 || action:apply-formula action:rewrite || strategy:set-subgoal action:analyze || action:apply-formula action:rewrite milestone:key-relation:var1=const-var2
action:rewrite milestone:key-relation:var1=const-var2,2,13,0.028889,1,13,0,1.000000,0.649886,0.350114,1.515152,14.567663,0.860075,246.742056,0.00580935,0.01130678,0.340479,middle,11.153846,0.000000,strategy:set-subgoal action:analyze || action:compute milestone:derived:closed-form || action:apply-formula action:rewrite milestone:key-relation:var1=const-var2 || action:apply-formula action:rewrite || action:compute milestone:derived:expression:hypotenuse
